Ingredient,Primary Role,Secondary Roles,Routine Step,AM / PM Suitability,Strength Level,Frequency Guidance,Barrier Type Fit,Conflict Tags
Vitamin C,Antioxidant,Brightening • Pigmentation • Firmness • Photodamage,Treat,AM preferred,Moderate,Daily if tolerated,Moisture-Impaired • Lipid-Depleted,Use with care if sensitive • Low pH may irritate
Niacinamide,Barrier Repair,Hydration • Brightening • Redness • Oil Balance,Hydrate / Soothe,AM or PM,Gentle,Daily,Moisture-Impaired • Inflammation-Reactive • Lipid-Depleted,Use care with strong acids if sensitive
Peptides,Firmness Support,Fine lines • Elasticity • Repair,Treat or Moisturise / Repair,AM or PM,Gentle,Daily,Moisture-Impaired • Lipid-Depleted,Avoid direct layering with strong acids if sensitive
Retinol,Retinoid,Wrinkles • Firmness • Texture • Pigmentation • Breakouts,Treat,PM only,Strong,Start 1–2 nights weekly,"Moisture-Impaired • Lipid-Depleted, if barrier is stable",Avoid with acids • Avoid pregnancy/breastfeeding • Irritation risk
Retinal / Retinaldehyde,Retinoid,Wrinkles • Firmness • Texture • Pigmentation,Treat,PM only,Strong,Start 1–2 nights weekly,"Moisture-Impaired • Lipid-Depleted, if barrier is stable",Avoid with acids • Avoid pregnancy/breastfeeding • Irritation risk
Glycolic Acid,Exfoliant,Texture • Dullness • Pigmentation • Fine lines,Treat,PM preferred,Strong,1–3 nights weekly,Moisture-Impaired only if tolerated,Avoid with retinoids • Avoid if reactive or barrier damaged
Lactic Acid,Exfoliant,Hydration • Texture • Dullness • Pigmentation,Treat,PM preferred,Moderate,1–3 nights weekly,"Moisture-Impaired • Lipid-Depleted, if tolerated",Avoid with retinoids • Avoid over-exfoliation
Mandelic Acid,Exfoliant,Pigmentation • Texture • Dullness • Breakouts,Treat,PM preferred,Moderate,1–3 nights weekly,"Moisture-Impaired • Inflammation-Reactive, if tolerated",Avoid with retinoids • Avoid over-exfoliation
PHAs / Gluconolactone,Exfoliant,Hydration • Texture • Dullness • Sensitive skin,Treat,PM preferred,Gentle to Moderate,1–3 nights weekly,Moisture-Impaired • Inflammation-Reactive,Avoid over-exfoliation
Salicylic Acid / BHA,Breakout Support,Exfoliation • Congestion • Oiliness,Treat,PM preferred,Moderate to Strong,2–4 times weekly if tolerated,Moisture-Impaired if breakout-prone,Avoid with retinoids/acids if sensitive • Drying risk
Azelaic Acid,Brightener,Redness • Breakouts • Pigmentation • Sensitivity,Treat,AM or PM,Moderate,Daily or alternate days,Inflammation-Reactive • Moisture-Impaired,May tingle • Use care with strong actives
Tranexamic Acid / TXA,Brightener,Pigmentation • Melasma • Redness,Treat,AM or PM,Gentle to Moderate,Daily,Moisture-Impaired • Inflammation-Reactive,SPF essential for pigment concerns
Alpha Arbutin,Brightener,Pigmentation • Dark spots • Uneven tone,Treat,AM or PM,Gentle,Daily,Moisture-Impaired • Inflammation-Reactive,SPF essential • Use care with strong actives
Kojic Acid,Brightener,Pigmentation • Dark spots • Melasma-prone tone,Treat,PM preferred,Moderate,Once daily or alternate days,Moisture-Impaired if tolerated,Irritation risk • Avoid with strong acids if sensitive
Hydrolysed Collagen,Hydrator,Softness • Film-forming • Dehydration lines,Hydrate / Soothe,AM or PM,Gentle,Daily,Moisture-Impaired • Lipid-Depleted,Do not treat as collagen-building active
Coenzyme Q10,Antioxidant,Fine lines • Dullness • Photodamage,Treat or Moisturise / Repair,AM or PM,Gentle,Daily,Lipid-Depleted • Moisture-Impaired,Formula stability matters
Vitamin E / Tocopherol,Antioxidant,Barrier support • Softness • Photodamage,Moisturise / Repair,AM or PM,Gentle,Daily,Lipid-Depleted • Moisture-Impaired,Can feel rich in oily formulas
Ferulic Acid,Antioxidant,Photodamage • Vitamin C support • Brightening support,Treat,AM preferred,Moderate,Daily if tolerated,Moisture-Impaired • Lipid-Depleted,May irritate in low-pH formulas
Ceramides,Barrier Repair,Dryness • Sensitivity • Redness • Barrier support,Moisturise / Repair,AM or PM,Gentle,Daily,Moisture-Impaired • Inflammation-Reactive • Lipid-Depleted,No major conflicts
Cholesterol,Barrier Repair,Lipid support • Dryness • Barrier repair,Moisturise / Repair,AM or PM,Gentle,Daily,Lipid-Depleted,Best with ceramides and fatty acids
Fatty Acids / Linoleic Acid,Barrier Repair,Lipid support • Softness • Dryness,Moisturise / Repair,AM or PM,Gentle,Daily,Lipid-Depleted,Some oils may not suit congestion-prone skin
Squalane,Occlusive / Sealant,Softness • Barrier comfort • Dryness,Seal or Moisturise / Repair,AM or PM,Gentle,Daily,Lipid-Depleted • Inflammation-Reactive,Use lighter amount if congestion-prone
Petrolatum,Occlusive / Sealant,Severe dryness • Barrier damage • Water-loss prevention,Seal,PM preferred,Gentle,As needed,Lipid-Depleted • Inflammation-Reactive,Can feel heavy • Use as final step
Dimethicone,Occlusive / Sealant,Barrier protection • Smoothness • Comfort,Moisturise / Repair or Seal,AM or PM,Gentle,Daily,Lipid-Depleted • Inflammation-Reactive,May pill with some products
